2024/03/08 13:30:02 storage (pid=19162)(error): src/net/connect/acl_inet_connect.c(412) acl_inet_timed_connect: connect 127.0.0.1:21000 error Connection refused
2024/03/08 13:30:02 storage (pid=19162)(error): tracker.cpp(26), run: Connect Tracker Fail, taddr: 127.0.0.1:21000
2024/03/10 20:21:26 tracker (pid=15079)(info): log_event_mode(922): use kernel_event
2024/03/10 20:21:26 tracker (pid=15079)(info): server.cpp(67), proc_on_init: cfg_appids: tnvideo, cfg_maddrs: 127.0.0.1, cfg_raddrs: 127.0.0.1:6379, cfg_interval: 120, cfg_mtimeout: 30, cfg_maxconns: 600, cfg_ctimeout: 10, cfg_rtimeout: 0, cfg_ktimeout: 60
2024/03/10 20:21:26 tracker (pid=15079)(info): acl_threads_server_main(1639), /home/nilera/Distributed_SM/bin/tracker daemon started, log: acl_master.log
2024/03/10 20:21:34 id (pid=15085)(info): log_event_mode(922): use kernel_event
2024/03/10 20:21:34 id (pid=15085)(info): server.cpp(34), proc_on_init: cfg_maddrs: 127.0.0.1, cfg_mtimeout: 30, cfg_maxoffset: 100
2024/03/10 20:21:34 id (pid=15085)(info): acl_threads_server_main(1639), /home/nilera/Distributed_SM/bin/id daemon started, log: acl_master.log
2024/03/10 20:21:38 storage (pid=15086)(info): log_event_mode(922): use kernel_event
2024/03/10 20:21:38 storage (pid=15086)(info): server.cpp(102), proc_on_init: cfg_gpname: group001, cfg_spaths: ../data, cfg_taddrs: 127.0.0.1:21000, cfg_iaddrs: 127.0.0.1:22000, cfg_maddrs: 127.0.0.1, cfg_raddrs: 127.0.0.1:6379, cfg_bindport: 23000, cfg_interval: 10, cfg_mtimeout: 30, cfg_maxconns: 600, cfg_ctimeout: 10, cfg_rtimeout: 0, cfg_ktimeout: 60
2024/03/10 20:21:38 storage (pid=15086)(info): acl_threads_server_main(1639), /home/nilera/Distributed_SM/bin/storage daemon started, log: acl_master.log
2024/03/10 20:21:38 tracker (pid=15079)(info): server.cpp(130), thread_on_accept: Connect, From: 127.0.0.1
2024/03/10 20:21:38 tracker (pid=15079)(info): service.cpp(24), business: Bodylen: 171, Command: 10, Status: 0
2024/03/10 20:21:38 tracker (pid=15079)(info): service.cpp(90), join: Storage Join, Version: 1.0, Groupname: group001, Hostname: , Port: 23000, Start Time: Sun Mar 10 20:21:38 2024
, Join Time: Sun Mar 10 20:21:38 2024

2024/03/10 20:21:38 storage (pid=15086)(info): tracker.cpp(104), join: Bodylen: 0, Command: 100, Status: 0
2024/03/10 20:21:48 tracker (pid=15079)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/10 20:21:48 tracker (pid=15079)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/10 20:21:48 storage (pid=15086)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/10 20:21:58 tracker (pid=15079)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/10 20:21:58 tracker (pid=15079)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/10 20:21:58 storage (pid=15086)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/10 20:22:08 tracker (pid=15079)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/10 20:22:08 tracker (pid=15079)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/10 20:22:08 storage (pid=15086)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/10 20:22:18 tracker (pid=15079)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/10 20:22:18 tracker (pid=15079)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/10 20:22:18 storage (pid=15086)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/10 20:22:28 tracker (pid=15079)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/10 20:22:28 tracker (pid=15079)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
2024/03/10 20:22:28 storage (pid=15086)(info): tracker.cpp(181), beat: Bodylen: 0, Command: 100, Status: 0
2024/03/10 20:22:38 tracker (pid=15079)(info): service.cpp(24), business: Bodylen: 146, Command: 11, Status: 0
2024/03/10 20:22:38 tracker (pid=15079)(info): service.cpp(135), beat: Storage Beat, Groupname: group001, Hostname: 
